genus_epi,northamer_status,hybrid,notes1,notes2
Ulmus x Patriot,unk,hybrid,,
Quercus x warei,unk,hybrid,,
Ulmus x Morton Glossy,unk,hybrid,,
Platanus x acerifolia,unk,hybrid,native x non-native,
Ulmus x Frontier,unk,hybrid,,
Quercus x bimundorum,unk,hybrid,native x non-native,
Picea omorika,unk,hybrid,,
Ulmus patriot,unk,hybrid,,
Magnolia x Butterflies,unk,hybrid,native x non-native,
Prunus x cistena,unk,hybrid,native x non-native,
Ulmus propinqua,unk,hybrid,,
Quercus x heritage,unk,hybrid,native x non-native,
Acer x Morton Glossy,unk,hybrid,,
Malus x Sugar Tyme,unk,hybrid,,
Fraxinus pennsylvanica,native,no,,
Tilia americana,native,no,,
Acer x freemanii,native,hybrid,,web shows native to some states in US
Gymnocladus dioicus,native,no,,
Ulmus americana,native,no,,
Celtis occidentalis,native,no,,
Quercus rubra,native,no,,
Acer saccharum,native,no,,
Ostrya virginiana,native,no,,
Amelanchier x grandiflora,native,hybrid,,
Catalpa speciosa,native,no,,
Quercus alba,native,no,,
Fraxinus americana,native,no,,
Quercus palustris,native,no,,
Quercus bicolor,native,no,,
Acer saccharinum,native,no,,
Quercus ellipsoidalis,native,no,,
Betula nigra,native,no,,
Acer rubrum,native,no,,
Prunus virginiana,native,no,,
Juglans nigra,native,no,,
Acer negundo,native,no,,
Aesculus glabra,native,no,,
Picea pungens,native,no,,
Larix laricina,native,no,,
Picea glauca,native,no,,
Populus deltoides,native,no,,
Quercus macrocarpa,native,no,,
Abies balsamea,native,no,,
Pinus strobus,native,no,,
Abies concolor,native,no,,
Thuja occidentalis,native,no,,
Pseudotsuga menziesii,native,no,,
Cornus alternifolia,native,no,,
Liriodendron tulipifera,native,no,,
Carpinus caroliniana,native,no,,
Nyssa sylvatica,native,no,,
Carya ovata,native,no,,
Juniperus virginiana,native,no,,
Pinus resinosa,native,no,,
Pinus banksiana,native,no,,
Quercus imbricaria,native,no,,
Betula papyrifera,native,no,,
Betula alleghaniensis,native,no,,
Populus tremuloides,native,no,,
Populus grandidentata,native,no,,
Populus balsamifera,native,no,,
Prunus serotina,native,no,,
Betula populifolia,native,no,,
Robinia pseudoacacia,native,no,,
Acer nigrum,native,no,,
Pinus ponderosa,native,no,,
Acer pensylvanicum,native,no,,
Tsuga canadensis,native,no,,
Fraxinus nigra,native,no,,
Prunus americana,native,no,,
Viburnum lentago,native,no,,
Carya cordiformis,native,no,,
Amelanchier canadensis,native,no,,
Amelanchier laevis,native,no,,
Salix nigra,native,no,,
Fagus grandifolia,native,no,,
Magnolia acuminata,native,no,,
Ulmus rubra,native,no,,
Quercus muehlenbergii,native,no,,
Taxodium distichum,native,no,,
Castanea dentata,native,no,,
Carya glabra,native,no,,
Maclura pomifera,native,no,,
Platanus occidentalis,native,no,,
Aesculus flava,native,no,,
Ulmus morton,native,no,,
Sorbus decora,native,no,,
Sorbus americana,native,no,,
Crataegus phaenopyrum,native,no,,
Abies fraseri,native,no,,
Hamamelis virginiana,native,no,,
Quercus velutina,native,no,,
Tilia tomentosa,native,no,,
Prunus pensylvanica,native,no,,
Morus rubra,native,no,,
Cornus racemosa,native,no,,
Pinus taeda,native,no,,
Quercus shumardii,native,no,,
Thuja plicata,native,no,,
Rhus typhina,native,no,,
Amelanchier arborea,native,no,,
Zanthoxylum americanum,native,no,,
Salix amygdaloides,native,no,,
Quercus coccinea,native,no,,
Carya illinoisensis,native,no,,
Magnolia virginiana,native,no,,
Euonymus atropurpureus,native,no,,
Liquidambar styraciflua,native,no,,
Acer spicatum,native,no,,
Cornus florida,native,no,,
Fraxinus quadrangulata,native,no,,
Sassafras albidum,native,no,,
Corylus americana,native,no,,
Alnus incana,native,no,,
Betula lenta,native,no,,
Magnolia grandiflora,native,no,,
Chionanthus virginicus,native,no,,
Quercus x schuettei,native,hybrid,,
Picea rubens,native,no,,
Salix discolor,native,no,,
Quercus stellata,native,no,,
Ginkgo biloba,non-native,no,,
Acer platanoides,non-native,no,,
Tilia cordata,non-native,no,,
Syringa reticulata,non-native,no,,
Acer ginnala,non-native,no,,
Phellodendron amurense,non-native,no,,
Prunus maackii,non-native,no,,
Malus x Prairifire,non-native,no,,
Betula platyphylla,non-native,no,,
Corylus colurna,non-native,no,,
Pinus nigra,non-native,no,,
Maackia amurensis,non-native,no,,
Pinus sylvestris,non-native,no,,
Picea abies,non-native,no,,
Elaeagnus angustifolia,non-native,no,,
Magnolia stellata,non-native,no,,
Alnus hirsuta,non-native,no,,
Malus domestica,non-native,no,,
Cercidiphyllum japonicum,non-native,no,,
Prunus cerasifera,non-native,no,,
Pyrus communis,non-native,no,,
Cercis canadensis,non-native,no,,
Ulmus x New Horizon,non-native,hybrid,,
Ulmus pumila,non-native,no,,
Pyrus calleryana,non-native,no,,
Cladrastis kentukea,non-native,no,,
Alnus glutinosa,non-native,no,,
Pyrus ussuriensis,non-native,no,,
Ulmus x Cathedral,non-native,hybrid,,
Ulmus davidiana,non-native,no,,
Aesculus hippocastanum,non-native,no,,
Prunus cerasus,non-native,no,,
Prunus domestica,non-native,no,,
Pinus cembra,non-native,no,,
Prunus persica,non-native,no,,
Magnolia x loebneri,non-native,hybrid,,
Pinus mugo,non-native,no,,
Larix decidua,non-native,no,,
Acer palmatum,non-native,no,,
Sorbus alnifolia,non-native,no,,
Populus alba,non-native,no,,
Prunus sargentii,non-native,no,,
Syringa vulgaris,non-native,no,,
Prunus padus,non-native,no,,
Zelkova serrata,non-native,no,,
Carpinus betulus,non-native,no,,
Styphnolobium japonicum,non-native,no,,
Ulmus parvifolia,non-native,no,,
Ulmus carpinifolia,non-native,no,,
Metasequoia glyptostroboides,non-native,no,,
Quercus acutissima,non-native,no,,
Prunus armeniaca,non-native,no,,
Quercus robur,non-native,no,,
Malus x Donald Wyman,non-native,hybrid,,
Sorbus aucuparia,non-native,no,,
Cotinus coggygria,non-native,no,,
Eucommia ulmoides,non-native,no,,
Morus alba,non-native,no,,
Tilia x Harvest Gold,non-native,hybrid,,
Betula pendula,non-native,no,,
Rhamnus cathartica,non-native,no,,
Castanea mollissima,non-native,no,,
Acer truncatum,non-native,no,,
Prunus serrulata,non-native,no,,
Acer miyabei,non-native,no,,
Salix babylonica,non-native,no,,
Salix matsudana,non-native,no,,
Magnolia x soulangeana,non-native,hybrid,,
Malus pumila,non-native,no,,
Fraxinus excelsior,non-native,no,,
Prunus avium,non-native,no,,
Juglans regia,non-native,no,,
Populus nigra,non-native,no,,
Acer tataricum,non-native,no,,
Syringa pekinensis,non-native,no,,
Cedrus atlantica,non-native,no,,
Fagus sylvatica,non-native,no,,
Aesculus x carnea,non-native,hybrid,,
Rhamnus frangula,non-native,no,,
Quercus x Regal Prince,non-native,hybrid,,
Acer buergerianum,non-native,no,,
Acer campestre,non-native,no,,
Euonymus alatus,non-native,no,,
Catalpa ovata,non-native,no,,
Koelreuteria paniculata,non-native,no,,
Amur maackia,non-native,no,,
Acer triflorum,non-native,no,,
Acer griseum,non-native,no,,
Crataegus laevigata,non-native,no,,
Quercus michauxii,native,no,,